reg_number,name,department,gender,student_type,phone,email,sslc_percentage,hsc_percentage,ug_percentage,pg_percentage,github_link,linkedin_link,resume_url,self_intro_link,photo_url,portfolio_link,year_of_graduation,placement_status,placed_company,ctc_lpa
RTC2024BBA012,Siddharth J,Business Administration,Male,Hostel,9876526828,siddharthj.bba24@rathinam.in,88.0,76.5,89.5,,https://github.com/siddharth-bba,https://www.linkedin.com/in/siddharth-j,https://drive.google.com/file/d/1Resume_RTC2024BBA012_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://siddharth.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT013,Hemalatha L,Information Technology,Female,Hostel,9876525860,hemalathal.bit24@rathinam.in,91.8,83.2,92.7,,https://github.com/hemalatha-bit,https://www.linkedin.com/in/hemalatha-l,https://drive.google.com/file/d/1Resume_RTC2024BIT013_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?auto=format&fit=crop&w=400&q=80,https://hemalatha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCS014,Arun S,Computer Science,Male,Hostel,9876541195,aruns.bcs24@rathinam.in,79.4,75.7,79.6,,https://github.com/arun-bcs,https://www.linkedin.com/in/arun-s,https://drive.google.com/file/d/1Resume_RTC2024BCS014_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://arun.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BEC015,Nandhini L,Electronics and Communication,Female,Hostel,9876517100,nandhinil.bec24@rathinam.in,80.0,84.5,81.7,,https://github.com/nandhini-bec,https://www.linkedin.com/in/nandhini-l,https://drive.google.com/file/d/1Resume_RTC2024BEC015_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://nandhini.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BIT016,Pooja K,Information Technology,Female,Hostel,9876568082,poojak.bit24@rathinam.in,86.6,81.1,77.7,,https://github.com/pooja-bit,https://www.linkedin.com/in/pooja-k,https://drive.google.com/file/d/1Resume_RCAS2024BIT016_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://pooja.portfolio.dev,2025,YTPP,,
RTC2024BCS017,Jeevan G,Computer Science,Male,Day Scholar,9876562565,jeevang.bcs24@rathinam.in,95.4,78.7,83.2,,https://github.com/jeevan-bcs,https://www.linkedin.com/in/jeevan-g,https://drive.google.com/file/d/1Resume_RTC2024BCS017_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://jeevan.portfolio.dev,2025,YTPP,,
RCAS2024BEC018,Hariharan P,Electronics and Communication,Male,Day Scholar,9876530289,hariharanp.bec24@rathinam.in,93.0,92.2,87.2,,https://github.com/hariharan-bec,https://www.linkedin.com/in/hariharan-p,https://drive.google.com/file/d/1Resume_RCAS2024BEC018_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://hariharan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS019,Kavin S,Computer Science,Male,Day Scholar,9876534356,kavins.bcs24@rathinam.in,95.5,78.5,94.1,,https://github.com/kavin-bcs,https://www.linkedin.com/in/kavin-s,https://drive.google.com/file/d/1Resume_RCAS2024BCS019_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://kavin.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA020,Balaji K,Business Administration,Male,Day Scholar,9876536772,balajik.bba24@rathinam.in,86.6,87.8,84.0,,https://github.com/balaji-bba,https://www.linkedin.com/in/balaji-k,https://drive.google.com/file/d/1Resume_RCAS2024BBA020_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://balaji.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCY021,Akshaya T,Cyber Security,Female,Day Scholar,9876519602,akshayat.bcy24@rathinam.in,78.2,88.7,84.9,,https://github.com/akshaya-bcy,https://www.linkedin.com/in/akshaya-t,https://drive.google.com/file/d/1Resume_RTC2024BCY021_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?auto=format&fit=crop&w=400&q=80,https://akshaya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BIT022,Ramya P,Information Technology,Female,Day Scholar,9876511025,ramyap.bit24@rathinam.in,84.2,96.6,90.6,,https://github.com/ramya-bit,https://www.linkedin.com/in/ramya-p,https://drive.google.com/file/d/1Resume_RCAS2024BIT022_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://ramya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA023,Naveen D,Business Administration,Male,Hostel,9876576244,naveend.bba24@rathinam.in,82.3,82.5,87.8,,https://github.com/naveen-bba,https://www.linkedin.com/in/naveen-d,https://drive.google.com/file/d/1Resume_RCAS2024BBA023_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&w=400&q=80,https://naveen.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT024,Saravanan L,Information Technology,Male,Hostel,9876524663,saravananl.bit24@rathinam.in,93.2,87.1,81.8,,https://github.com/saravanan-bit,https://www.linkedin.com/in/saravanan-l,https://drive.google.com/file/d/1Resume_RTC2024BIT024_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://saravanan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS025,Subhashini R,Computer Science,Female,Day Scholar,9876599399,subhashinir.bcs24@rathinam.in,94.3,93.9,92.7,,https://github.com/subhashini-bcs,https://www.linkedin.com/in/subhashini-r,https://drive.google.com/file/d/1Resume_RCAS2024BCS025_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=400&q=80,https://subhashini.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT026,Rajeswari R,Information Technology,Female,Day Scholar,9876563964,rajeswarir.bit24@rathinam.in,94.6,94.4,72.6,,https://github.com/rajeswari-bit,https://www.linkedin.com/in/rajeswari-r,https://drive.google.com/file/d/1Resume_RTC2024BIT026_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&w=400&q=80,https://rajeswari.portfolio.dev,2025,YTPP,,
RCAS2024BCS027,Lavanya R,Computer Science,Female,Hostel,9876550001,lavanyar.bcs24@rathinam.in,87.6,79.4,93.1,,https://github.com/lavanya-bcs,https://www.linkedin.com/in/lavanya-r,https://drive.google.com/file/d/1Resume_RCAS2024BCS027_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?auto=format&fit=crop&w=400&q=80,https://lavanya.portfolio.dev,2025,YTPP,,
RCAS2024BEC028,Barath K,Electronics and Communication,Male,Day Scholar,9876599065,barathk.bec24@rathinam.in,97.8,81.1,86.8,,https://github.com/barath-bec,https://www.linkedin.com/in/barath-k,https://drive.google.com/file/d/1Resume_RCAS2024BEC028_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://barath.portfolio.dev,2025,YTPP,,
RCAS2024BCY029,Meena J,Cyber Security,Female,Day Scholar,9876567199,meenaj.bcy24@rathinam.in,83.4,77.4,82.0,,https://github.com/meena-bcy,https://www.linkedin.com/in/meena-j,https://drive.google.com/file/d/1Resume_RCAS2024BCY029_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://meena.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS030,Pradeep A,Computer Science,Male,Day Scholar,9876557739,pradeepa.bcs24@rathinam.in,92.1,95.7,89.0,,https://github.com/pradeep-bcs,https://www.linkedin.com/in/pradeep-a,https://drive.google.com/file/d/1Resume_RCAS2024BCS030_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&w=400&q=80,https://pradeep.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCY031,Akshaya G,Cyber Security,Female,Hostel,9876559695,akshayag.bcy24@rathinam.in,92.3,87.2,76.4,,https://github.com/akshaya-bcy,https://www.linkedin.com/in/akshaya-g,https://drive.google.com/file/d/1Resume_RTC2024BCY031_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1517841905240-472988babdf9?auto=format&fit=crop&w=400&q=80,https://akshaya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY032,INBAVARUNAN P,Cyber Security,Male,Day Scholar,9876538010,inbavarunanp.bcy24@rathinam.in,90.4,82.1,82.2,,https://github.com/inbavarunan-bcy,https://www.linkedin.com/in/inbavarunan-p,https://drive.google.com/file/d/1Resume_RCAS2024BCY032_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://inbavarunan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA033,Bhavani G,Business Administration,Female,Day Scholar,9876529313,bhavanig.bba24@rathinam.in,93.4,89.8,77.2,,https://github.com/bhavani-bba,https://www.linkedin.com/in/bhavani-g,https://drive.google.com/file/d/1Resume_RCAS2024BBA033_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&w=400&q=80,https://bhavani.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT034,Nandhakumar N,Information Technology,Male,Hostel,9876565724,nandhakumarn.bit24@rathinam.in,86.2,78.2,87.8,,https://github.com/nandhakumar-bit,https://www.linkedin.com/in/nandhakumar-n,https://drive.google.com/file/d/1Resume_RTC2024BIT034_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://nandhakumar.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BIT035,Meena T,Information Technology,Female,Day Scholar,9876590301,meenat.bit24@rathinam.in,98.3,88.1,93.9,,https://github.com/meena-bit,https://www.linkedin.com/in/meena-t,https://drive.google.com/file/d/1Resume_RTC2024BIT035_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?auto=format&fit=crop&w=400&q=80,https://meena.portfolio.dev,2025,YTPP,,
RTC2024BIT036,Manikandan T,Information Technology,Male,Day Scholar,9876573517,manikandant.bit24@rathinam.in,83.3,80.4,86.7,,https://github.com/manikandan-bit,https://www.linkedin.com/in/manikandan-t,https://drive.google.com/file/d/1Resume_RTC2024BIT036_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://manikandan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA037,Saravanan V,Business Administration,Male,Hostel,9876563424,saravananv.bba24@rathinam.in,85.9,78.4,76.9,,https://github.com/saravanan-bba,https://www.linkedin.com/in/saravanan-v,https://drive.google.com/file/d/1Resume_RCAS2024BBA037_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&w=400&q=80,https://saravanan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCS038,Yuvan N,Computer Science,Male,Day Scholar,9876564921,yuvann.bcs24@rathinam.in,85.8,75.1,80.1,,https://github.com/yuvan-bcs,https://www.linkedin.com/in/yuvan-n,https://drive.google.com/file/d/1Resume_RTC2024BCS038_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://yuvan.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS039,Raghav T,Computer Science,Male,Day Scholar,9876591560,raghavt.bcs24@rathinam.in,94.4,90.9,91.3,,https://github.com/raghav-bcs,https://www.linkedin.com/in/raghav-t,https://drive.google.com/file/d/1Resume_RCAS2024BCS039_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://raghav.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC040,Raghav R,Electronics and Communication,Male,Hostel,9876546471,raghavr.bec24@rathinam.in,84.7,85.0,79.8,,https://github.com/raghav-bec,https://www.linkedin.com/in/raghav-r,https://drive.google.com/file/d/1Resume_RCAS2024BEC040_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://raghav.portfolio.dev,2025,YTPP,,
RTC2024BCS041,Deepak T,Computer Science,Male,Hostel,9876515276,deepakt.bcs24@rathinam.in,97.5,79.9,73.6,,https://github.com/deepak-bcs,https://www.linkedin.com/in/deepak-t,https://drive.google.com/file/d/1Resume_RTC2024BCS041_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://deepak.portfolio.dev,2025,YTPP,,
RCAS2024BIT042,Adithya N,Information Technology,Male,Day Scholar,9876558351,adithyan.bit24@rathinam.in,80.3,95.9,82.7,,https://github.com/adithya-bit,https://www.linkedin.com/in/adithya-n,https://drive.google.com/file/d/1Resume_RCAS2024BIT042_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://adithya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY043,Adithya J,Cyber Security,Male,Day Scholar,9876592213,adithyaj.bcy24@rathinam.in,85.7,95.7,76.6,,https://github.com/adithya-bcy,https://www.linkedin.com/in/adithya-j,https://drive.google.com/file/d/1Resume_RCAS2024BCY043_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://adithya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS044,Madhumitha L,Computer Science,Female,Hostel,9876574251,madhumithal.bcs24@rathinam.in,85.6,86.1,79.8,,https://github.com/madhumitha-bcs,https://www.linkedin.com/in/madhumitha-l,https://drive.google.com/file/d/1Resume_RCAS2024BCS044_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://madhumitha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCY045,Logesh G,Cyber Security,Male,Day Scholar,9876545179,logeshg.bcy24@rathinam.in,93.9,85.2,91.0,,https://github.com/logesh-bcy,https://www.linkedin.com/in/logesh-g,https://drive.google.com/file/d/1Resume_RTC2024BCY045_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://logesh.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC046,Nandhini L,Electronics and Communication,Female,Day Scholar,9876537802,nandhinil.bec24@rathinam.in,84.9,85.9,79.5,,https://github.com/nandhini-bec,https://www.linkedin.com/in/nandhini-l,https://drive.google.com/file/d/1Resume_RCAS2024BEC046_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=400&q=80,https://nandhini.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCS047,Soundarya K,Computer Science,Female,Hostel,9876568743,soundaryak.bcs24@rathinam.in,89.4,80.3,83.0,,https://github.com/soundarya-bcs,https://www.linkedin.com/in/soundarya-k,https://drive.google.com/file/d/1Resume_RCAS2024BCS047_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&w=400&q=80,https://soundarya.portfolio.dev,2025,YTPP,,
RTC2024BCY048,Mukesh K,Cyber Security,Male,Hostel,9876553357,mukeshk.bcy24@rathinam.in,89.3,82.6,94.9,,https://github.com/mukesh-bcy,https://www.linkedin.com/in/mukesh-k,https://drive.google.com/file/d/1Resume_RTC2024BCY048_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?auto=format&fit=crop&w=400&q=80,https://mukesh.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCS049,Karthik V,Computer Science,Male,Day Scholar,9876587278,karthikv.bcs24@rathinam.in,92.1,79.2,89.0,,https://github.com/karthik-bcs,https://www.linkedin.com/in/karthik-v,https://drive.google.com/file/d/1Resume_RTC2024BCS049_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1522075469751-3a6694fb2f61?auto=format&fit=crop&w=400&q=80,https://karthik.portfolio.dev,2025,YTPP,,
RCAS2024BIT050,Naveen C,Information Technology,Male,Hostel,9876517146,naveenc.bit24@rathinam.in,84.2,90.6,74.9,,https://github.com/naveen-bit,https://www.linkedin.com/in/naveen-c,https://drive.google.com/file/d/1Resume_RCAS2024BIT050_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?auto=format&fit=crop&w=400&q=80,https://naveen.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BEC051,Madhumitha P,Electronics and Communication,Female,Hostel,9876518564,madhumithap.bec24@rathinam.in,97.8,80.6,91.8,,https://github.com/madhumitha-bec,https://www.linkedin.com/in/madhumitha-p,https://drive.google.com/file/d/1Resume_RCAS2024BEC051_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://madhumitha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BCS052,Balaji P,Computer Science,Male,Hostel,9876578494,balajip.bcs24@rathinam.in,93.7,88.3,90.2,,https://github.com/balaji-bcs,https://www.linkedin.com/in/balaji-p,https://drive.google.com/file/d/1Resume_RTC2024BCS052_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://balaji.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RTC2024BBA053,Vasanth S,Business Administration,Male,Hostel,9876530585,vasanths.bba24@rathinam.in,93.6,88.8,78.1,,https://github.com/vasanth-bba,https://www.linkedin.com/in/vasanth-s,https://drive.google.com/file/d/1Resume_RTC2024BBA053_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?auto=format&fit=crop&w=400&q=80,https://vasanth.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY054,Subash T,Cyber Security,Male,Hostel,9876544675,subasht.bcy24@rathinam.in,83.8,93.9,73.6,,https://github.com/subash-bcy,https://www.linkedin.com/in/subash-t,https://drive.google.com/file/d/1Resume_RCAS2024BCY054_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&w=400&q=80,https://subash.portfolio.dev,2025,YTPP,,
RCAS2024BCS055,Kavitha A,Computer Science,Female,Day Scholar,9876550319,kavithaa.bcs24@rathinam.in,96.6,93.2,73.6,,https://github.com/kavitha-bcs,https://www.linkedin.com/in/kavitha-a,https://drive.google.com/file/d/1Resume_RCAS2024BCS055_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1488426862026-3ee34a7d66df?auto=format&fit=crop&w=400&q=80,https://kavitha.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BBA056,Lavanya G,Business Administration,Female,Hostel,9876513390,lavanyag.bba24@rathinam.in,78.8,84.5,79.4,,https://github.com/lavanya-bba,https://www.linkedin.com/in/lavanya-g,https://drive.google.com/file/d/1Resume_RCAS2024BBA056_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?auto=format&fit=crop&w=400&q=80,https://lavanya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY057,Bhuvaneshwari B,Cyber Security,Female,Day Scholar,9876533788,bhuvaneshwarib.bcy24@rathinam.in,81.6,86.4,82.2,,https://github.com/bhuvaneshwari-bcy,https://www.linkedin.com/in/bhuvaneshwari-b,https://drive.google.com/file/d/1Resume_RCAS2024BCY057_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1494790108377-be9c29b29330?auto=format&fit=crop&w=400&q=80,https://bhuvaneshwari.portfolio.dev,2025,YTPP,,
RCAS2024BCY058,Ananya T,Cyber Security,Female,Hostel,9876547777,ananyat.bcy24@rathinam.in,80.1,78.5,81.5,,https://github.com/ananya-bcy,https://www.linkedin.com/in/ananya-t,https://drive.google.com/file/d/1Resume_RCAS2024BCY058_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=400&q=80,https://ananya.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BCY059,Kavin P,Cyber Security,Male,Day Scholar,9876570552,kavinp.bcy24@rathinam.in,95.7,93.1,72.0,,https://github.com/kavin-bcy,https://www.linkedin.com/in/kavin-p,https://drive.google.com/file/d/1Resume_RCAS2024BCY059_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&w=400&q=80,https://kavin.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
RCAS2024BIT060,Bhuvaneshwari S,Information Technology,Female,Hostel,9876592578,bhuvaneshwaris.bit24@rathinam.in,83.9,94.4,83.1,,https://github.com/bhuvaneshwari-bit,https://www.linkedin.com/in/bhuvaneshwari-s,https://drive.google.com/file/d/1Resume_RCAS2024BIT060_Doc/view?usp=drive_link,,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=400&q=80,https://bhuvaneshwari.portfolio.dev,2025,PLACED,Zoho Corporation,8.5
